filename,title,company_name,location,posted_date,applicants,salary,Python,SQL,SAS,C++,MSc,PhD,Cloud,AWS,Azure,Statistics,Computer Science,CS,consulting,Salary
file_224,Data Scientist,PlayStation,,2 days ago,,,True,True,False,True,False,False,False,True,False,False,True,False,False,
file_225,Senior Data Scientist (Pricing),Direct Line Group,,3 days ago,1 applicant,,True,False,False,False,False,False,False,False,False,False,False,False,False,
file_226,Senior Data Scientist,HP,,1 day ago,21 applicants,,True,False,False,False,False,False,False,False,False,True,True,False,False,
file_227,Data Science Engineer,Harnham,,1 month ago,7 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_228,Senior Data Scientist,Monzo Bank,,2 weeks ago,26 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_229,Data Scientist,Allianz Global Investors,,2 weeks ago,123 applicants,,True,False,False,True,True,True,False,False,False,False,True,False,False,
file_23,NLP Data Scientist,The Open University,,5 days ago,65 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_230,Data Scientist/Machine Learning/Modelling/Algorithm,re&amp;m,,2 weeks ago,,,True,False,False,True,True,True,False,False,False,False,False,False,False,
file_231,Data Scientist - Machine Learning and Algorithms (Risk Management),Binance,,1 week ago,,,True,False,False,False,False,True,False,False,False,False,False,False,False,
file_232,Data Scientist (Welsh Water),Dŵr Cymru Welsh Water,,3 weeks ago,98 applicants,,True,True,False,False,True,True,False,False,True,False,False,False,False,
file_233,"Data Scientist (Retail Industry) - Remote, UK Wide",Nigel Frank International,,1 month ago,6 applicants,,True,True,False,False,False,False,True,False,True,True,False,False,False,45000,
file_234,Senior Data Scientist,Direct Line Group,,3 days ago,4 applicants,,False,False,False,False,False,False,False,True,False,False,False,False,False,
file_235,Data Scientist - Cambridge,Nigel Frank International,,1 month ago,3 applicants,,True,True,False,False,False,False,True,False,True,False,False,False,False,60000,
file_236,"Senior Data Scientist, Monzo Flex",Monzo Bank,,6 hours ago,18 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_237,Senior Data Scientist,Monzo Bank,,2 weeks ago,54 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_238,Lead Data Scientist,Kainos,,3 weeks ago,8 applicants,,True,True,False,False,False,False,False,True,True,True,True,False,False,
file_239,Data Scientist,Nigel Frank International,,2 months ago,17 applicants,,True,True,False,False,False,False,True,False,True,False,False,False,False,65000,
file_24,Data Scientist,RemoteWorker UK,,1 day ago,19 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_240,Data Scientist - Cambridge,Nigel Frank International,,1 month ago,,,True,True,False,False,False,False,True,False,False,False,False,False,False,70000,
file_241,Data Scientist,Beacon,,2 days ago,69 applicants,,True,False,False,False,False,False,False,False,False,False,False,False,False,
file_242,Data Scientist - Cambridge,Nigel Frank International,,1 month ago,,,True,True,False,False,False,False,True,False,True,False,False,False,False,65000,
file_243,Data Scientist,Entain,,3 weeks ago,88 applicants,,True,True,False,False,False,False,True,True,False,False,False,False,False,
file_244,Senior Data Scientist (Pricing),Direct Line Group,,3 days ago,1 applicant,,True,False,False,False,False,False,False,False,False,False,False,False,False,
file_245,Data Scientist,SSE plc,,2 days ago,6 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_246,Data Science & Machine Learning Research Engineer,Raytheon Intelligence & Space,,1 month ago,8 applicants,,True,False,False,False,False,False,True,True,False,False,False,False,False,
file_247,Senior Data Scientist,Monzo Bank,,2 weeks ago,21 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_248,Lead Data Scientist,Harnham,,3 weeks ago,1 applicant,,True,True,False,False,True,False,False,False,False,False,False,False,False,90000,
